episode,timestep,reward
422,136564,57.779973995894345
423,136893,57.91329703505531
424,137143,57.95720836848097
425,137363,57.959440245837136
426,137814,58.200115887116965
427,138015,58.14168999505432
428,138251,58.15837768595247
429,138694,58.425140770566806
430,138930,58.443486418510545
431,139113,58.383308388626354
432,139260,58.29083096782605
433,139802,58.72929076619089
434,140099,58.82322998320352
435,140451,59.02400986725843
436,140875,59.1381683169967
437,141254,59.26782224232177
438,141636,59.45843309167977
439,142012,59.55544876905242
440,142372,59.64108690031248
441,142654,59.704555568728345
442,143051,59.95076784371616
443,143486,60.15832746539665
444,143862,60.22651348251821
445,144099,60.304750445813745
446,144441,60.53194945985026
447,144805,60.71850468575531
448,145059,60.7094424357801
449,145433,60.78106561720636
450,145850,60.85085931853308
451,146196,61.042150649103405
452,146583,61.24163227213686
453,146953,61.327875631143606
454,147340,61.45916438270587
455,147605,61.536736337688076
456,147978,61.56841064065882
457,148350,61.66819372321847
458,148760,61.810408205896366
459,149086,61.93293676935103
460,149431,62.063824681425864
461,149728,62.23504624529766
462,150001,62.25603491996025
463,150369,62.37477643160805
464,150744,62.475441668045406
465,151129,62.72686848172435
466,151553,62.90488098804447
467,151937,63.067009170060416
468,152242,63.15539605847329
469,152601,63.21700493665946
470,153002,63.424396401709174
471,153374,63.64335264720099
472,153798,63.753826088500425
473,154058,63.836204044083324
474,154357,63.93939670578299
475,154767,64.13135097223262
476,155050,64.26046457532537
477,155414,64.43643280078095
478,155836,64.6496346218191
479,156142,64.79413684699418
480,156406,64.87136449932213
481,156704,65.06172523312613
482,157200,65.18014576976559
483,157601,65.41480156310126
484,158066,65.62572892486263
485,158500,65.91520739194021
486,158778,65.9872865967142
487,159082,66.04881334649454
488,159360,66.09227144344865
489,159791,66.1932518534265
490,160034,66.18864535485953
491,160389,66.28931115254436
492,160707,66.42181762744535
493,161152,66.6283797209189
494,161485,66.66336042046804
495,161734,66.69505092964938
496,162083,66.82266436020605
497,162493,66.89010521251821
498,162832,66.89121371269967
499,163115,67.01012701915347
500,163429,67.0903022182899
501,163785,67.22238898636887
502,164258,67.44066798773038
503,164701,67.69161894993996
504,165093,67.85349828821722
505,165440,67.84346679799518
506,165760,67.91535347493438
507,166132,68.01781581640408
508,166526,68.10412707063168
509,166934,68.1648960217994
510,167360,68.47684348050913
511,167794,68.64953885883799
512,168090,68.7338533331999
513,168372,68.8173130049696
514,168775,68.9286629519312
515,169081,69.03844248868806
516,169492,69.24065184055576
517,169895,69.36623474036301
518,170361,69.44688508534334
519,170693,69.55839576703913
520,171218,69.86410705110964
521,171606,69.99985706116637
522,171956,70.08762762772615
523,172276,70.23084285164016
524,172768,70.32531715677777
525,173173,70.55576288835442
526,173470,70.5534249913718
527,173685,70.46523828907662
528,174035,70.66468458627314
529,174502,70.84104570451508
530,174812,70.87573251517945
531,175228,71.1271279588995
532,175532,71.25740053032881
533,175843,71.42133215334468
534,176132,71.53260013233843
535,176488,71.707727203396
536,176946,71.8348132625245
537,177211,71.84275802363932
538,177515,71.92946211486766
539,177771,71.97587372151409
540,178053,72.05496660508491
541,178360,72.11411324673814
542,178636,72.19433347426835
543,178927,72.29072042626586
544,179308,72.37368375536846
545,179599,72.46504904123924
546,179984,72.63876380390806
547,180335,72.6751618175127
548,180625,72.76625128849878
549,180993,72.94611566209761
550,181262,72.9788997681983
551,181738,73.14984226239757
552,182022,73.2182334789828
553,182323,73.36490319111024
554,182714,73.54505058246643
555,183110,73.64024436699984
556,183384,73.70809662107845
557,183660,73.76426959243302
558,184176,73.95602874817814
559,184615,74.0857388008564
560,184927,74.18445788148775
561,185368,74.38133083370393
562,185673,74.49836632480073
563,185939,74.53230463702562
564,186290,74.60176225772065
565,186703,74.670284213516
566,187110,74.7700821969453
567,187375,74.80964982002935
568,187658,74.89313237311363
569,188046,74.96599262088384
570,188510,75.17766170803407
571,188893,75.2225627567418
572,189327,75.37542469003529
573,189672,75.55801303834485
574,190249,75.81656120433841
575,190490,75.81439680866066
576,190804,75.78844959380959
577,191098,75.77672743940595
578,191421,75.80061431489753
579,191603,75.73412678802548
580,191830,75.73298958470836
581,192074,75.7241583099347
582,192972,76.10630643741777
583,193254,76.05637252965192
584,193509,75.98223230140412
585,193837,75.94453257463154
586,194168,75.93307489506593
587,194739,76.03399515861358
588,195164,76.10582750800556
589,195490,76.07140215637
590,195767,76.0100219833299
591,196262,76.06416118777496
592,196639,76.05548468211762
593,196933,76.03856753708061
594,197165,75.99618685478451
595,197646,76.06217841686147
596,197831,75.9784374388383
597,198029,75.89009472444918
598,198263,75.80847588797437
599,198466,75.73019352033866
600,198645,75.63994430532122
601,198873,75.55023912928155
602,199191,75.5337052978127
603,199412,75.44917824052304
604,199657,75.368951652002
605,199895,75.31233271164929
606,200056,75.18793303484253
607,200244,75.11110966230231
608,200429,75.03640319568017
609,200704,75.00411557433524
610,201096,75.02209766884569
611,201253,74.90613153902979
612,201553,74.86458104532686
613,201696,74.73743760445004
614,201883,74.62446892746307
615,202085,74.53576983580679
616,202449,74.50674999766625
617,202641,74.40903406505971
618,202873,74.33283427509674
619,203070,74.24249506696715
620,203232,74.12644562355952
621,203446,74.051679593373
622,203654,73.9505413480169
623,203826,73.84621771139417
624,204034,73.75777644502794
625,204189,73.65588679437779
626,204352,73.54671486644563
627,204634,73.48905187889076
628,204869,73.39704536399674
629,205166,73.3383908240494
630,205381,73.24420443689908
631,205585,73.15417007937683
632,205803,73.05871830421825
633,206020,72.96814982020258
634,206206,72.86078501367169
635,206407,72.76350103578845
